1,Tahoe,1,0.00938775510204,7.7664,0.0106856088793
2,Tahoe,1,0.00985324947589,7.5568,0.0108337049545
3,Tahoe,1,0.00922546634225,7.8184,0.0108911304615
4,Tahoe,1,0.00924483224265,7.6304,0.0106957855945
5,Tahoe,1,0.00952793417064,7.3184,0.0107041892217
6,Tahoe,1,0.00966542750929,7.4592,0.0107571922994
7,Tahoe,1,0.00888599913307,7.3168,0.0107897260004
8,Tahoe,1,0.00877103518613,7.7752,0.0107442113386
9,Tahoe,1,0.0107866637612,7.2632,0.0105749738958
10,Tahoe,1,0.00981961788878,7.4216,0.0106364447558
1,Tahoe,2,0.0137128370592,6.8472,0.0102340345835
2,Tahoe,2,0.0116198803497,6.8728,0.0102851541148
3,Tahoe,2,0.0131042156014,6.3864,0.0101355004384
4,Tahoe,2,0.0136744076388,6.6936,0.0102141043385
5,Tahoe,2,0.011992306822,6.9864,0.0101979803046
6,Tahoe,2,0.0120311394197,6.7008,0.010350552531
7,Tahoe,2,0.0115976331361,6.6816,0.0100482304837
8,Tahoe,2,0.0124569937122,6.6592,0.00995599327247
9,Tahoe,2,0.0128158626526,6.532,0.0101531554195
10,Tahoe,2,0.0127223320158,6.3944,0.0101893486801
1,Tahoe,3,0.0159435441715,6.024,0.00985992895086
2,Tahoe,3,0.0170734960651,5.8952,0.00991867865382
3,Tahoe,3,0.0166389351082,5.6736,0.00984208812747
4,Tahoe,3,0.0153213221734,5.5528,0.00983216697882
5,Tahoe,3,0.0147550111359,5.6624,0.00976781294151
6,Tahoe,3,0.0160503338469,6.1304,0.0096929300535
7,Tahoe,3,0.0166596668067,5.6192,0.00970062542711
8,Tahoe,3,0.0156084656085,5.9536,0.00989354313357
9,Tahoe,3,0.0149332628519,5.9632,0.00990854427153
10,Tahoe,3,0.0158563753112,6.008,0.0097371942743
1,Tahoe,4,0.019674056673,5.3416,0.00965105062154
2,Tahoe,4,0.0208572836262,4.7696,0.00983493525663
3,Tahoe,4,0.0210417892878,5.3224,0.00979587043439
4,Tahoe,4,0.0198925511834,5.4,0.00982456548148
5,Tahoe,4,0.0217074592075,5.372,0.00983009456441
